temporada,competicao,rodada_comp,data,local,time,adversario,placar,posicao_campo,minuto,placar_pos_gol,tipo,jogador_assistente
04/05,LaLiga,34,01/05/2005,H,FC Barcelona,Albacete Balompie,02:00,CF,90+1,02:00,Left-footed shot,Ronaldinho Gaucho
05/06,UEFA Champions League,Group Stage,02/11/2005,H,FC Barcelona,Panathinaikos Athens,05:00,RW,34,03:00,Left-footed shot,
05/06,LaLiga,13,27/11/2005,H,FC Barcelona,Racing Santander,04:01,RW,51,02:00,Left-footed shot,Samuel Etoo
05/06,LaLiga,19,15/01/2006,H,FC Barcelona,Athletic Bilbao,02:01,RW,50,02:01,Left-footed shot,Mark van Bommel
05/06,LaLiga,20,22/01/2006,H,FC Barcelona,Deportivo Alaves,02:00,CF,82,02:00,Left-footed shot,Ronaldinho Gaucho
05/06,LaLiga,21,29/01/2006,A,FC Barcelona,RCD Mallorca,00:03,CF,75,00:02,Right-footed shot,Sylvinho
05/06,LaLiga,21,29/01/2006,A,FC Barcelona,RCD Mallorca,00:03,CF,83,00:03,Left-footed shot,Ronaldinho Gaucho
05/06,Copa del Rey,Quarter-Finals,01/02/2006,H,FC Barcelona,Real Zaragoza,02:01,CF,42,01:00,Header,Ludovic Giuly
05/06,LaLiga,24,18/02/2006,H,FC Barcelona,Real Betis Balompie,05:01,RW,84,05:01,Left-footed shot,
06/07,LaLiga,1,28/08/2006,A,FC Barcelona,Celta de Vigo,02:03,LW,59,01:02,Left-footed shot,Andres Iniesta
06/07,LaLiga,2,09/09/2006,H,FC Barcelona,CA Osasuna,03:00,RW,36,03:00,Left-footed shot,Samuel Etoo
06/07,UEFA Champions League,Group Stage,27/09/2006,A,FC Barcelona,SV Werder Bremen,01:01,RW,89,01:01,Left-footed shot,Deco
06/07,LaLiga,6,15/10/2006,H,FC Barcelona,Sevilla FC,03:01,RW,80,03:01,Right-footed shot,Xavi
06/07,LaLiga,26,10/03/2007,H,FC Barcelona,Real Madrid,03:03,RW,11,01:01,Left-footed shot,Samuel Etoo
06/07,LaLiga,26,10/03/2007,H,FC Barcelona,Real Madrid,03:03,RW,28,02:02,Left-footed shot,
06/07,LaLiga,26,10/03/2007,H,FC Barcelona,Real Madrid,03:03,RW,90+1,03:03,Left-footed shot,Ronaldinho Gaucho
06/07,LaLiga,27,17/03/2007,A,FC Barcelona,Recreativo Huelva,00:04,RW,86,00:04,Left-footed shot,
06/07,LaLiga,28,31/03/2007,H,FC Barcelona,Deportivo de La Coruaa,02:01,RW,45,01:00,Left-footed shot,Ronaldinho Gaucho
06/07,Copa del Rey,Semi-Finals,18/04/2007,H,FC Barcelona,Getafe CF,05:02,RW,29,02:00,Solo run,Xavi
06/07,Copa del Rey,Semi-Finals,18/04/2007,H,FC Barcelona,Getafe CF,05:02,RW,45,03:00,Left-footed shot,Deco
06/07,LaLiga,35,20/05/2007,A,FC Barcelona,Atletico de Madrid,00:06,RW,39,00:01,Left-footed shot,Samuel Etoo
06/07,LaLiga,35,20/05/2007,A,FC Barcelona,Atletico de Madrid,00:06,RW,80,00:05,Left-footed shot,Giovanni van Bronckhorst
06/07,LaLiga,37,09/06/2007,H,FC Barcelona,RCD Espanyol Barcelona,02:02,RW,43,01:01,,Gianluca Zambrotta
06/07,LaLiga,37,09/06/2007,H,FC Barcelona,RCD Espanyol Barcelona,02:02,RW,57,02:01,Right-footed shot,Deco
06/07,LaLiga,38,17/06/2007,A,FC Barcelona,Gimnastic de Tarragona,01:05,RW,34,00:02,Left-footed shot,Deco
06/07,LaLiga,38,17/06/2007,A,FC Barcelona,Gimnastic de Tarragona,01:05,RW,51,00:04,Left-footed shot,Deco
07/08,UEFA Champions League,Group Stage,19/09/2007,H,FC Barcelona,Olympique Lyon,03:00,RW,82,02:00,Left-footed shot,Andres Iniesta
07/08,LaLiga,4,22/09/2007,H,FC Barcelona,Sevilla FC,02:01,RW,72,01:00,Left-footed shot,Thierry Henry
07/08,LaLiga,4,22/09/2007,H,FC Barcelona,Sevilla FC,02:01,RW,79,02:00,Penalty,
07/08,LaLiga,5,26/09/2007,H,FC Barcelona,Real Zaragoza,04:01,RW,5,01:00,Left-footed shot,Thierry Henry
07/08,LaLiga,5,26/09/2007,H,FC Barcelona,Real Zaragoza,04:01,RW,10,02:01,Left-footed shot,Deco
07/08,LaLiga,6,29/09/2007,A,FC Barcelona,Levante UD,01:04,RW,50,00:04,Left-footed shot,Deco
07/08,UEFA Champions League,Group Stage,02/10/2007,A,FC Barcelona,VfB Stuttgart,00:02,RW,66,00:02,Deflected shot on goal,Thierry Henry
07/08,LaLiga,7,07/10/2007,H,FC Barcelona,Atletico de Madrid,03:00,RW,19,02:00,Left-footed shot,Ronaldinho Gaucho
07/08,LaLiga,9,28/10/2007,H,FC Barcelona,UD Almera,02:00,RW,80,02:00,Penalty,
07/08,UEFA Champions League,Group Stage,07/11/2007,H,FC Barcelona,Rangers FC,02:00,RW,41,02:00,Left-footed shot,Ronaldinho Gaucho
07/08,LaLiga,13,24/11/2007,H,FC Barcelona,Recreativo Huelva,03:00,RW,81,03:00,Penalty,
07/08,UEFA Champions League,Group Stage,27/11/2007,A,FC Barcelona,Olympique Lyon,02:02,RW,58,01:02,Penalty,
07/08,UEFA Champions League,last 16,20/02/2008,A,FC Barcelona,Celtic FC,02:03,RW,18,01:01,Left-footed shot,Deco
07/08,UEFA Champions League,last 16,20/02/2008,A,FC Barcelona,Celtic FC,02:03,RW,79,02:03,Left-footed shot,
07/08,LaLiga,25,24/02/2008,H,FC Barcelona,Levante UD,05:01,RW,44,02:01,Left-footed shot,Xavi
07/08,LaLiga,35,04/05/2008,H,FC Barcelona,Valencia CF,06:00,RW,5,01:00,Penalty,
08/09,LaLiga,2,13/09/2008,H,FC Barcelona,Racing Santander,01:01,RW,70,01:00,Penalty,
08/09,LaLiga,3,21/09/2008,A,FC Barcelona,Sporting GijÃ³n,01:06,RW,85,01:05,Left-footed shot,Andres Iniesta
08/09,LaLiga,3,21/09/2008,A,FC Barcelona,Sporting GijÃ³n,01:06,RW,89,01:06,Header,Xavi
08/09,LaLiga,5,27/09/2008,A,FC Barcelona,RCD Espanyol Barcelona,01:02,RW,90,01:02,Penalty,
08/09,UEFA Champions League,Group Stage,01/10/2008,A,FC Barcelona,Shakhtar Donetsk,01:02,RW,87,01:01,Right-footed shot,Bojan Krkic
